,prdtypecode
37483,1180
27588,2522
64259,2583
6381,50
84701,1160
80586,2585
16994,1560
4079,2060
64249,1300
23003,2522
38333,2060
39714,60
60233,2522
59438,1560
73872,2060
11830,2583
19904,2583
57232,1140
40508,1300
79488,1301
13289,2280
765,2462
29812,1302
84639,40
46113,1140
22829,1280
5635,1920
34119,1280
13895,1300
61324,1300
45136,40
84301,2522
22973,1300
64735,1280
66539,2060
82755,2905
18622,2905
60774,1280
65102,2522
22727,2280
49881,2582
54114,2280
46977,2522
72867,40
35324,2583
76251,2583
72631,1940
36464,1920
8139,1281
31613,2582
83540,2462
30599,1302
17682,1302
12056,2060
60169,1280
12572,40
31463,2522
23032,2705
78730,1180
33533,1300
36293,1280
17971,1300
83718,1320
51761,1160
43015,1300
40303,2585
59044,1160
59756,1280
3185,1300
23058,10
17066,1560
22999,60
84414,1560
72780,1280
11481,2403
3493,2060
36977,1140
12656,40
43879,1300
4627,1940
49515,1280
21133,1920
69831,2060
50527,1160
4576,2403
27852,10
12596,1160
18901,1320
83251,2582
62959,2462
80141,60
72270,2280
80325,2705
1262,2582
29659,1300
54939,2403
67141,1320
40065,2462
9656,2582
83017,1280
45893,1560
37412,1302
21898,2462
63395,2522
82166,1300
2606,2403
49018,1302
16307,2585
32665,1280
16513,10
83443,2582
3232,2583
40968,2583
21754,2060
12523,2280
49461,2583
74224,2060
27327,2905
3186,10
61188,50
62699,1280
16796,2060
58173,50
20078,1160
3278,2280
76105,2522
31324,2060
49387,2582
2607,2583
29995,2462
1050,1280
3911,2583
46745,2060
35160,2060
1842,2060
14296,2220
48171,2060
30498,2403
27801,1280
78759,1160
47835,1560
635,2583
84862,2583
75068,1920
18114,1300
76607,2583
45016,1160
25438,1301
59745,1281
83800,2582
76612,1560
15600,10
4123,2280
49513,2403
23027,2522
58852,2585
26591,1920
37734,2280
75742,1281
11,1560
49496,2585
70818,2583
76051,2905
28804,2280
14012,1302
22907,1300
7553,2280
55758,2280
34624,2280
12427,50
76641,2905
15200,1560
77815,2280
19741,1280
7900,10
20508,2522
69279,2583
76300,2522
68555,60
61285,1280
61814,2403
41801,1320
9307,2585
9145,1302
29972,1920
38718,2522
39280,50
74237,1302
30939,1160
5324,2522
83901,2403
20060,1302
37971,2583
67965,1560
78190,1301
25906,2583
11555,1280
57018,2705
58247,2582
66708,1300
27780,2462
51407,2403
39583,2583
30614,2705
51787,1320
22795,40
67579,1560
10834,2583
69842,1560
8377,10
2495,1940
22000,1560
71133,2522
32744,2060
36884,2280
18978,40
56605,2522
13663,1560
71566,2522
79087,2060
30569,2280
25292,1300
81066,1160
69015,2522
48707,2060
30115,1320
51,2403
70733,2522
78965,2403
2555,2060
82236,2522
43843,10
17504,1920
41550,1280
61369,10
33716,2522
58,2583
28526,1180
3597,1300
73167,1280
15287,2583
74578,60
24507,2583
16985,2220
38952,1300
38827,1302
80715,2462
24228,2583
31235,1940
54726,1280
81651,2403
76720,10
69613,1920
71509,1300
59447,2583
23517,50
65847,1280
49382,10
51679,1300
20933,2522
12893,2060
39459,1560
75314,1920
20521,1140
4208,2522
23878,2705
43090,1140
13861,1320
55165,40
36991,2583
1956,2585
2015,1300
13287,1160
26201,1280
50549,2583
71205,2403
74812,2522
47400,2582
42177,40
6470,2583
43947,2583
29890,2060
7903,1560
79409,2583
67149,1160
66868,10
9416,2582
7360,2582
31403,40
55953,2060
42960,10
10497,2705
68525,1920
13849,1920
23532,1280
35367,2280
14286,2583
66376,2060
56454,2060
46059,1920
32038,2462
4935,1281
27134,2583
58153,1280
81317,1320
4267,2705
56067,1160
78866,2060
12300,1140
67015,2522
42618,2583
3179,10
38906,2583
19935,1300
19890,2403
68862,1300
63603,2585
67074,2280
6278,1560
65539,1320
75646,1140
79265,2280
79754,2280
9641,1281
41308,2522
35476,1560
16981,2585
84558,2522
18257,2403
55587,1302
29032,2522
75333,1281
39497,2522
28985,1320
29057,10
5201,1140
30256,1560
49928,2905
73483,2522
68814,2522
29715,1320
31511,2280
57027,1920
48894,1300
19623,1140
50831,1560
33474,2403
44992,1140
77570,2583
46644,2280
39697,1320
62060,2280
46418,1300
38031,1160
31395,1920
47981,1560
14918,2583
79542,1560
49828,1560
43835,1300
29549,2280
66317,1140
43997,1300
11152,2522
52595,1560
38909,1560
51300,1560
48238,1302
13475,2585
48468,2060
35453,50
61695,2583
63386,1300
22248,2220
73966,2060
28835,1140
44030,2060
72283,2583
66480,1281
78388,1920
29789,1280
60506,1940
47886,1302
18361,2585
5733,2280
21470,2403
34661,2583
35309,2583
53762,2060
40655,1320
70007,2583
84018,2522
44356,2403
459,1281
84722,2403
62791,2280
61357,1560
11339,2583
16881,10
14770,2705
47827,40
32049,1280
74398,2522
45294,1302
79556,2705
30942,1280
22758,1320
61942,2403
38502,1560
7248,1160
44189,1560
29229,1140
11126,40
14354,2905
44469,1280
16969,1920
29858,1160
80085,40
84171,1281
16533,1560
13725,2583
65601,2522
84368,2280
17564,1320
44289,1560
30022,2060
84620,50
37184,2582
44206,40
5669,2583
31257,1560
44576,50
28658,1160
48624,2060
72186,1560
12046,1140
78020,1281
35266,1560
46369,50
49719,2583
52027,2462
65809,1560
23603,1300
39366,1280
5455,2280
25016,2403
15088,1140
62499,2583
66829,2060
52048,2280
20622,1280
62555,1140
67916,50
66538,2462
15514,1160
38348,1140
62164,1320
37551,1320
64582,2583
9096,40
34519,1940
17685,1300
16872,2462
48181,2583
42254,1320
742,2403
23306,1560
29364,2280
25236,1920
35255,2583
39991,1300
17297,1302
65089,1280
2482,1140
62949,1302
54610,2220
15064,1320
12621,1320
64968,2220
22531,2705
27289,1920
80134,1160
35634,1280
25294,2462
83524,1920
20688,1160
73464,2585
81873,1300
39853,1920
44630,2583
23342,2583
83947,2522
77734,1280
47476,2582
71173,2585
56540,1300
29788,1160
36783,2403
50592,1160
53975,1920
70728,1140
43255,40
44425,1160
35890,40
42969,2280
30008,2060
28893,2280
39802,1320
8495,2705
76527,1320
7591,50
61363,50
31566,2522
12442,2583
78991,2060
17218,2582
64695,1940
12812,1560
14989,2522
25104,1280
30967,40
36715,1300
50319,1301
78773,40
64336,2060
43987,1281
18854,1280
8553,40
16164,1560
33968,40
16645,1300
7543,1300
45224,1560
77939,1280
24556,2522
35456,1160
19673,1920
78427,1560
81861,2583
45087,1302
31874,1300
21011,1302
49650,1300
23486,2060
25144,1302
36421,2583
50476,50
36160,1140
71774,1280
73360,2705
41016,2583
24300,2403
56566,2583
76847,50
2343,2522
43060,2060
66826,1560
77206,1320
58628,1320
53707,1140
4264,1300
24720,1920
58989,1920
33877,2280
24163,2280
65180,1300
28718,1320
30820,2403
25130,2583
19305,1160
32591,1280
34726,2522
31328,1302
43767,2583
82097,2462
5905,2583
79129,2583
44594,2060
82572,2522
72970,2522
61276,2403
34931,2403
30193,1280
52838,50
38771,1920
69715,2522
35265,1280
59003,1140
23332,2522
74035,1920
43507,2583
80826,1281
12045,1920
59187,1140
156,2403
56924,1560
62103,1280
11153,2582
46344,1280
39196,1560
11946,60
15851,1920
31292,1302
8572,1300
11096,2522
75715,50
82117,2403
48282,2583
45801,1140
8008,1560
44967,2403
57896,2582
13490,2280
36307,1940
70103,1160
66256,2582
66721,2583
54828,2705
54020,2583
4363,2585
37874,2280
11485,2462
60929,40
78185,2060
73414,2522
34954,2220
81847,2220
36203,1160
21628,1920
6644,1302
41123,1300
10680,2705
15470,2582
41719,2280
32348,1320
77941,2585
25174,2280
34753,2583
69433,2705
50445,2403
8164,2060
4949,1300
1029,1302
59023,10
24453,1160
26208,1280
50789,50
82115,1560
1848,60
1094,1281
36470,1300
50989,1302
2513,2280
42980,2403
41180,1920
70985,2403
13257,1920
53902,1300
3135,1300
40775,1560
50043,2462
47655,2582
1578,2705
36757,1140
2686,1281
58138,1302
57355,1302
51041,2280
55574,1300
20721,1560
13095,2583
77836,2280
1961,1320
15945,2583
80451,2583
18626,1320
5836,1320
24156,10
64101,2522
31299,1920
19062,2582
16415,2522
71215,2585
41588,50
49066,2462
40132,1560
22892,2583
83263,2582
77423,1140
24023,2583
28503,1280
36869,2280
64434,2403
55653,2060
5399,1560
49695,1180
38653,1280
34409,1320
62369,2220
2353,1560
73907,2522
81831,1320
38770,2060
81230,2403
50925,1300
58137,1180
57759,1140
39592,2522
11432,2583
72571,2403
81520,10
65018,1920
11992,2585
78445,50
55209,1560
15766,2522
22792,10
53987,2582
27514,1300
55727,2522
7707,2280
3371,1300
1565,2705
1479,1300
44125,1180
33677,1160
27831,2060
39651,2280
26320,1320
10947,2583
1529,1560
10082,1560
28180,2060
70389,10
19384,2220
30187,2585
25878,1140
50621,2522
81176,2583
82748,1281
10300,1280
57761,2705
12104,2522
1837,2403
7025,2583
58440,2280
68314,2060
81741,2060
37811,1160
20461,1920
81952,2583
23560,1281
16133,1560
53859,1160
63830,50
16364,2583
19212,1280
30223,2060
23755,2403
23265,1560
54387,2585
69720,50
32406,2403
31596,40
59016,2522
58595,1920
31861,2585
64758,2585
23146,1560
80294,1560
79418,1160
57380,2585
70353,1302
14653,2583
69618,1920
50595,2280
33145,2585
83090,2280
65785,2582
20543,2585
22754,1302
79729,2705
14382,1560
77420,2403
81729,2522
39408,50
46695,2280
65013,2280
38026,2060
49823,2060
22614,2220
58732,1300
33182,1560
74955,2582
73693,2583
19871,1302
78107,50
61613,1160
24469,1280
12704,2522
73520,2060
25953,1280
63968,1281
19118,1300
9989,1320
32045,1301
79004,2582
52596,2220
39216,1160
53674,2583
224,2583
54806,1140
21261,60
19584,1300
39863,2583
83514,2583
62169,1280
27624,1160
25577,2280
41602,40
34084,1160
77650,10
80305,50
41485,1560
83915,2060
28006,2060
34844,2462
3026,1300
4552,1920
68957,1940
27444,2583
11599,1560
72443,1140
44142,10
72425,1281
52977,40
9490,2583
26577,2582
65595,10
6501,1320
28923,1160
74990,2060
24390,1302
57213,1300
51867,2280
66366,1302
600,1300
41697,1281
84727,2583
43873,1280
16102,2403
78100,1300
41591,2522
9064,1160
67884,10
10661,1302
11682,2705
10576,2583
43823,2585
73174,1320
22951,2583
77859,1280
44739,1920
80225,2403
64239,1160
82821,1140
66902,2280
81603,60
71349,2403
32300,1560
21303,1560
49039,2705
62122,2060
66930,50
9273,2220
200,1940
25300,1560
80409,2583
72762,1560
68562,2905
41893,1160
46064,2403
9517,2462
20684,1560
28761,1160
56830,2280
65684,2060
79469,2522
57657,1560
13450,2705
72702,1920
21643,1560
31623,2522
84710,2585
25162,2060
46592,2462
50078,1320
7055,1280
30382,2280
76585,1140
917,1280
76461,2403
8543,2280
55275,1160
83962,60
24489,1560
42881,2280
75688,2280
20117,1280
24424,2582
82451,1302
24602,1300
47097,2403
12153,1560
74038,1140
43563,40
17219,2060
63559,40
52834,2583
7372,2280
70428,2583
21918,10
26102,1160
7127,2705
36835,10
81448,2403
34776,2060
69439,1280
26782,2583
74240,2403
73895,1920
65136,2403
73096,1302
17394,2220
69765,1280
73443,2403
60523,2582
81220,1281
9762,60
11086,2522
14858,60
78715,1320
78132,2220
24700,2585
27396,1302
11679,2060
41065,1160
34816,2462
39126,2585
17374,2280
83485,2582
31451,10
34983,40
56975,1301
23143,1920
